case_key,model,mode,question_id,question,category,language,badness_score,human_quality,answer_acceptance,over_answering_risk,primary_failure_tag,secondary_failure_tag,word_token_count,char_count,word_repeated_1gram_count,word_distinct_1gram_ratio,word_repeated_2gram_count,word_distinct_2gram_ratio,word_repeated_3gram_count,word_distinct_3gram_ratio,word_repeated_4gram_count,word_distinct_4gram_ratio,word_repeated_5gram_count,word_distinct_5gram_ratio,word_repeated_6gram_count,word_distinct_6gram_ratio,sentence_count,repeated_sentence_count,copy_dump_hint,answer_preview
s30_023__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_023,ICUに入学した後、必ず履修しなければならない科目は何ですか？どの公式ページを見るべきですか？,curriculum,ja,98.52,0.0,0.0,2.0,unsupported_claim,verbose_low_quality,404,1393,338,0.16336633663366337,295,0.2679900744416873,278,0.30845771144278605,269,0.32917705735660846,262,0.345,255,0.3609022556390977,25,12,1,ICUの入学後、必ず履修しなければならない必修科目は「リベラルアーツ英語プログラム（ELA）」です。 [1] Title: ICUの入試について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp/admissions/undergraduate/exam Evidence: 一般選抜、総合型選抜<4月入学>、総合型選抜<4月/9月入学>、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>を受ける場合、卒業要件上の必修語学科目は「リベラルアーツ英語プログラム」（ELA: English for Liberal Arts Program）となります。 [2] Title: ICUの入学について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp/admissions/undergraduate/undergraduate Evidence: 入学者選抜に関
s30_014__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_014,履修登録について教育事務グループに確認したいです。連絡先や関連する公式ページはどこで確認できますか？,office,ja,57.0,0.75,1.0,0.0,missing_key_condition,verbose_low_quality,176,536,134,0.23863636363636365,103,0.4114285714285714,97,0.4425287356321839,92,0.4682080924855491,88,0.4883720930232558,84,0.5087719298245614,22,12,0,履修登録の手続き、日程、申請方法、および連絡先（教務グループ）は、以下のページで直接記載されています。 [1] https://sites.google.com/icu.ac.jp/icu-ehandbook/お知らせ更新情報/2024-3-29-教務グループからの重要なお知らせ春学期登録版 [2] https://sites.google.com/icu.ac.jp/icu-ehandbook/お知らせ更新情報/2025-4-1-教務グループからの重要なお知らせ春学期登録版 [3] https://sites.google.com/icu.ac.jp/icu-ehandbook/お知らせ更新情報/2024-11-27-2024年度第3学期-教務グループからの重要なお知らせ冬学期登録版 [4] https://sites.google.com/icu.ac.jp/icu-ehandbook/お知らせ更新情報/2025-4-1-教
s30_024__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_024,进入ICU以后必须修哪些课程？我应该看哪个官方页面？,curriculum,zh,54.39,0.0,0.0,2.0,unsupported_claim,verbose_low_quality,273,915,183,0.32967032967032966,107,0.6066176470588235,66,0.7564575645756457,36,0.8666666666666667,21,0.9219330855018587,15,0.9440298507462687,22,1,0,"进入 ICU 后，必须修以下课程： 1. **Health Science（健康科学）**：作为毕业必修科目，共 1 个学分（1 个单位）。内容包括健康与体育教育讲座，以及 PE 运动课 I、II、III（共 3 个学分，每个 1/3 个单位）。这些课程旨在让学生了解大学生活中的健康与安全，并提升终身的生活质量。 2. **Physical Education Exercise I, II, and III（PE 运动课 I、II、III）**：作为毕业必修科目，共 3 个学分（各 1/3 个单位）。这些课程包含实际运动练习，让学生学习健康与安全知识，并提升沟通、领导力、团队合作等能力。 3. **Teacher's Certificate in Physical Education（体育理论）**：如果学生有志于将来成为中学或高校教师，则需修习此科目。 **关于官方页面**： * 学生应前往 **ICU 官方网站** 查看。 "
s30_024__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_024,进入ICU以后必须修哪些课程？我应该看哪个官方页面？,curriculum,zh,51.56,0.25,0.0,2.0,unsupported_claim,language_or_format_failure,282,1154,186,0.3404255319148936,107,0.6192170818505338,72,0.7428571428571429,49,0.8243727598566308,38,0.8633093525179856,32,0.8844765342960289,14,0,0,"Based on the provided evidence, here is the answer regarding ICU courses and official pages: **Required Courses** Students must complete the following graduation requirements: 1. **Health Science (1 unit):** A course on health and physical education (lectures + 3 practical exercises: PE Exercise I, II, and III). 2. **Physical Education (3 units):** Practical exercises in group activities, leadership, and followership"
s30_006__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_006,"If I take a leave of absence and later return to ICU, what procedure or office information should I check before planning my courses again?",student_status,en,46.49,0.125,0.0,2.0,unsupported_claim,retrieval_miss,243,1129,138,0.43209876543209874,53,0.78099173553719,25,0.8962655601659751,11,0.9541666666666667,8,0.9665271966527197,7,0.9705882352941176,15,0,1,"Based on the provided evidence, here is the procedure to check before planning your courses again: **1. Verify Leave Status and Documentation** Before returning to the ICU, you must confirm the validity of your leave of absence. * **Evidence:** [3] ""If you have an infectious disease. Please consult with your faculty if you can use hospital receipts, or prescription record books, etc. , as proof. "" * **Note:** The evi"
s30_007__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_007,"I feel overwhelmed and want to talk to someone, but I am worried about privacy. Where can I find official information about counseling or student support at ICU?",student_support,en,44.69,0.375,1.0,2.0,unsupported_claim,citation_mismatch,263,1372,171,0.34980988593155893,106,0.5954198473282443,76,0.7088122605363985,63,0.7576923076923077,52,0.7992277992277992,46,0.8217054263565892,6,0,0,"You can find official information about counseling and student support at the **ICU Health Care Office for Students** (Mental Health) and the **Counseling, Human Rights Consultation and Health Services** page. [1] The **ICU Health Care Office for Students** provides mental health counseling, general mental health counseling, and addiction support, with a 24-hour hotline and free phone service available. [2] The **Cou"
s30_027__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_027,我可以在ICU的毕业论文里使用ChatGPT吗？如果资料不够，请明确告诉我。,policy,zh,42.99,0.125,0.0,2.0,unsupported_claim,language_or_format_failure,243,922,158,0.3497942386831276,84,0.6528925619834711,43,0.8215767634854771,16,0.9333333333333333,8,0.9665271966527197,3,0.9873949579831933,18,0,0,"はい、ICU の毕业论文（Senior Thesis）において ChatGPT を使用することは可能です。ただし、以下の条件を満たす必要があります。 1. **ICU Net ID を取得する**： 学内のシステム（Portal, E-mail, Microsoft 365, Moodle, ICU MAP など）にログインし、ICU Net ID を取得する必要があります。 [1] 2. **Generative AI の使用が禁止されている**： 論文の作成や提出において、Generative AI の使用は禁止されており、その使用が論文の品質を低下させる行為となります。 [2] 3. **ICU Policy の遵守**： 論文の作成において、Generative AI の使用が禁止されているため、その使用が論文の品質を低下させる行為となります。 [2] 4. **合理的配慮の適用**： 若き研究者や研究員など、障がいや慢"
s30_002__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_002,"I missed the normal course registration day because I was sick. Can I still register or change my courses, and what part of the procedure should I pay attention to?",registration,en,41.7,0.375,0.0,1.0,unsupported_claim,missing_key_condition,202,1134,128,0.36633663366336633,84,0.582089552238806,58,0.71,44,0.7788944723618091,35,0.8232323232323232,30,0.8477157360406091,7,0,0,"You can still register or change your courses, but you must complete the registration during the designated change period. If you miss the registration day, you must take a leave of absence or withdraw from the university. [1] The course record indicates that registration is not possible on the registration day. [2] The handbook explicitly states that registration is not acceptable after the registration change perio"
s30_012__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_012,"For Spring 2026, I need to know both the registration period and the advisor interview timing. Which official calendar or registration pages should I check?",calendar,en,40.9,0.625,1.0,1.0,unsupported_claim,missing_key_condition,280,1032,205,0.26785714285714285,131,0.5304659498207885,91,0.6726618705035972,62,0.776173285198556,43,0.8442028985507246,29,0.8945454545454545,6,0,1,"Based on the provided evidence, here is the answer for Spring 2026: **Registration Period:** The official registration period is **April 9 (Thursday) 9:00 ~ April 10 (Friday) 14:30**. * **Evidence:** [1] explicitly states: ""Schedule Online input April 9 (Thu) 9:00 ~ April 10 (Fri) 14:30"". **Advisor Interview Timing:** The interview with the advisor occurs on **April 9 (Thursday) 10:00 ~ 16:00** (online) and **April 1"
s30_006__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_006,"If I take a leave of absence and later return to ICU, what procedure or office information should I check before planning my courses again?",student_status,en,40.2,0.125,0.0,2.0,unsupported_claim,retrieval_miss,124,631,51,0.5887096774193549,19,0.8455284552845529,13,0.8934426229508197,9,0.9256198347107438,7,0.9416666666666667,6,0.9495798319327731,4,0,0,"If you take a leave of absence and later return to ICU, you should consult the **Healthcare Office** to check procedures and obtain proof for sick leave. [1] The Healthcare Office explicitly states that if a student has an infectious disease (like influenza or COVID-19), they should consult the office to check procedures and obtain proof for sick leave. [2] The Healthcare Office does not issue certificates or slips r"
