base_model_label,short_label,family,params_b,question_id,single_shot_chars,agentic_chars,delta_chars,agentic_human_quality_score,agentic_answer_acceptance,agentic_primary_failure_tag,agentic_secondary_failure_tag,agentic_human_judge_notes,agentic_blocking_bad_case,agentic_blocking_reasons,agentic_repetitive_or_truncated
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_001,1119,679,-440,0.875,2.0,verbose_low_quality,none,Accurate but framed as evidence commentary rather than a concise student answer.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_002,1174,1134,-40,0.375,0.0,unsupported_claim,missing_key_condition,"Misstates consequences and omits SAVE, results, and fee details.",yes,acceptance_0; quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_003,1186,1509,323,0.75,2.0,over_answering,verbose_low_quality,Mostly correct but includes irrelevant readmission and registration notes.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_004,588,843,255,0.5,1.0,unsupported_claim,verbose_low_quality,Includes typos and imprecise limits while omitting the major-counting limitation.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_005,1126,465,-661,0.75,1.0,missing_key_condition,none,"Only covers final submission and Portal, missing other schedule sources and deadlines.",no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_006,1129,631,-498,0.125,0.0,unsupported_claim,retrieval_miss,Focuses on Healthcare Office sick-leave proof instead of leave and return procedures.,yes,acceptance_0; quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_007,1169,1372,203,0.375,1.0,unsupported_claim,citation_mismatch,Claims 24-hour free hotline support and mismatches several citations.,yes,quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_008,908,972,64,0.875,1.0,missing_key_condition,none,Gives accommodations but omits the official support page and document/form process.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_009,804,1442,638,0.75,2.0,verbose_low_quality,over_answering,Accurate core but overlong with app-password instructions.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_010,619,630,11,0.625,1.0,over_answering,missing_key_condition,Over-focuses specific PT dates and omits office/reassessment guidance.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_011,963,870,-93,0.5,1.0,missing_key_condition,over_answering,Only addresses Chapel Hour and infers scheduling from weak evidence.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_012,1032,469,-563,1.0,2.0,none,none,Identifies official portal notices and the correct schedule.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_013,995,1157,162,0.875,2.0,verbose_low_quality,none,Correct but awkwardly framed.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_014,793,536,-257,0.75,1.0,missing_key_condition,verbose_low_quality,Lists notices but omits the contact email and core eHANDBOOK page.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_015,851,884,33,0.75,1.0,over_answering,missing_key_condition,Over-focuses a loan notice and does not state the limitation clearly.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_016,727,283,-444,0.625,1.0,citation_mismatch,missing_key_condition,Lacks citations and omits the exact schedule.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_017,903,997,94,0.375,1.0,language_or_format_failure,missing_key_condition,Includes internal agent text and omits Autumn grading.,yes,quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_018,148,719,571,0.625,1.0,verbose_low_quality,missing_key_condition,Repeats course records and omits useful level explanation.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_019,1049,1008,-41,0.25,1.0,verbose_low_quality,citation_mismatch,Contains the key answer but is an unusably long evidence dump with invalid citation numbers.,yes,quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_020,1080,726,-354,0.625,2.0,citation_mismatch,over_answering,Useful but lacks citations and adds a generic website not supported.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_021,474,317,-157,0.625,1.0,unsupported_claim,missing_key_condition,Mentions PE but adds unsupported doctoral and major framing.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_022,434,483,49,0.5,1.0,missing_key_condition,unsupported_claim,Covers PE only and adds incorrect graduate or major framing.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_023,159,1393,1234,0.0,0.0,unsupported_claim,verbose_low_quality,Misidentifies ELA as the mandatory course and is a copied evidence dump.,yes,acceptance_0; quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_024,1154,915,-239,0.0,0.0,unsupported_claim,verbose_low_quality,"Misstates credits, lists irrelevant pages, and ends with repetitive admissions advice.",yes,acceptance_0; quality_below_0.50; repetitive_or_truncated,yes
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_025,279,603,324,0.375,1.0,unsupported_claim,over_answering,Starts with an unsupported yes and adds irrelevant Q&A material despite correct warnings.,yes,quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_026,252,1024,772,0.625,1.0,verbose_low_quality,over_answering,"Contradictory and repetitive, though it includes the senior-thesis AI rule.",yes,repetitive_or_truncated,yes
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_027,516,922,406,0.125,0.0,unsupported_claim,language_or_format_failure,"Contradicts itself, mixes languages, and adds irrelevant Net ID and accommodation claims.",yes,acceptance_0; quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_028,29,102,73,0.25,0.0,unsupported_claim,citation_mismatch,Names a course taught by another instructor and contradicts itself.,yes,acceptance_0; quality_below_0.50,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_029,437,272,-165,0.625,1.0,unsupported_claim,citation_mismatch,Incorrectly includes Japanese Archaeology despite naming a different instructor.,no,,no
Qwen3.5 0.8B,Qwen 0.8B,Qwen3.5,0.8,s30_030,504,446,-58,0.875,1.0,missing_key_condition,none,Omits the Registration Result section and advisor-approval check.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_001,480,188,-292,0.75,1.0,missing_key_condition,citation_mismatch,Omits the in-class reassessment and JLP Office while citing only partial support.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_002,598,696,98,0.875,1.0,missing_key_condition,none,Omits advisor approval and the late-registration fee.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_003,1168,1000,-168,0.75,1.0,missing_key_condition,over_answering,"Misses registration-change, F-risk, and W/GPA points while mixing in withdrawal deadlines.",no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_004,1103,1329,226,1.0,2.0,none,none,Explains review procedures and that transferability is not confirmed until official procedures.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_005,477,340,-137,0.625,1.0,missing_key_condition,over_answering,Vague and only mentions March graduates plus a September posting claim.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_006,384,348,-36,0.875,1.0,missing_key_condition,none,Only covers illness-return certificate and course-registration blocking.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_007,688,242,-446,0.75,1.0,language_or_format_failure,missing_key_condition,Answers in Japanese to an English question and omits the privacy limitation.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_008,529,905,376,1.0,2.0,none,none,Covers the process and LAS contact.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_009,743,809,66,1.0,2.0,none,none,Covers the key account expiration and backup guidance.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_010,446,433,-13,0.75,1.0,missing_key_condition,over_answering,Omits first-class reassessment and adds broad requirement details.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_011,869,560,-309,0.875,1.0,missing_key_condition,none,Does not classify events or tell where to check schedules.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_012,807,438,-369,0.75,1.0,missing_key_condition,unsupported_claim,Omits the second day and gives incomplete timings.,no,,no
Gemma 4 E2B,Gemma E2B,Gemma 4,2.0,s30_013,290,914,624,1.0,2.0,none,none,Explains transfer limits and lack of exact calculation.,no,,no
