label,base_model_label,short_label,mode,params_b,question_id,human_quality_score,answer_acceptance,primary_failure_tag,secondary_failure_tag,blocking_reasons,human_judge_notes
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_002,0.375,0.0,unsupported_claim,missing_key_condition,acceptance_0; quality_below_0.50,"Misstates consequences and omits SAVE, results, and fee details."
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_006,0.125,0.0,unsupported_claim,retrieval_miss,acceptance_0; quality_below_0.50,Focuses on Healthcare Office sick-leave proof instead of leave and return procedures.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_007,0.375,1.0,unsupported_claim,citation_mismatch,quality_below_0.50,Claims 24-hour free hotline support and mismatches several citations.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_017,0.375,1.0,language_or_format_failure,missing_key_condition,quality_below_0.50,Includes internal agent text and omits Autumn grading.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_019,0.25,1.0,verbose_low_quality,citation_mismatch,quality_below_0.50,Contains the key answer but is an unusably long evidence dump with invalid citation numbers.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_023,0.0,0.0,unsupported_claim,verbose_low_quality,acceptance_0; quality_below_0.50,Misidentifies ELA as the mandatory course and is a copied evidence dump.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_024,0.0,0.0,unsupported_claim,verbose_low_quality,acceptance_0; quality_below_0.50; repetitive_or_truncated,"Misstates credits, lists irrelevant pages, and ends with repetitive admissions advice."
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_025,0.375,1.0,unsupported_claim,over_answering,quality_below_0.50,Starts with an unsupported yes and adds irrelevant Q&A material despite correct warnings.
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_026,0.625,1.0,verbose_low_quality,over_answering,repetitive_or_truncated,"Contradictory and repetitive, though it includes the senior-thesis AI rule."
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_027,0.125,0.0,unsupported_claim,language_or_format_failure,acceptance_0; quality_below_0.50,"Contradicts itself, mixes languages, and adds irrelevant Net ID and accommodation claims."
Qwen3.5 0.8B (agentic),Qwen3.5 0.8B,Qwen 0.8B,agentic,0.8,s30_028,0.25,0.0,unsupported_claim,citation_mismatch,acceptance_0; quality_below_0.50,Names a course taught by another instructor and contradicts itself.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_001,0.375,1.0,missing_key_condition,citation_mismatch,quality_below_0.50,Misses in-class reassessment and lacks usable citations.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_003,0.375,1.0,missing_key_condition,citation_mismatch,quality_below_0.50,Partly covers withdrawal but lacks citations and key registration-change framing.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_006,0.125,0.0,unsupported_claim,retrieval_miss,acceptance_0; quality_below_0.50,Answers about short-term illness absences rather than leave and return procedures.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_010,0.375,1.0,unsupported_claim,verbose_low_quality,quality_below_0.50,Includes dubious language-credit requirements and misses official sources.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_014,0.5,1.0,verbose_low_quality,missing_key_condition,repetitive_or_truncated,"Contains key info but is repetitive, truncated, and hard to use."
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_017,0.375,1.0,unsupported_claim,citation_mismatch,quality_below_0.50,Misstates the exam share and ignores the Autumn section.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_019,0.75,2.0,verbose_low_quality,none,repetitive_or_truncated,Contains the key answer but is overly long and repetitive.
Qwen3.5 0.8B (single-shot),Qwen3.5 0.8B,Qwen 0.8B,single_shot,0.8,s30_021,0.5,0.0,unsupported_claim,over_answering,acceptance_0,Incorrectly declares all retrieved course syllabi mandatory.
