answer_acceptance,answer_preview,answer_token_count,case_group_id,copy_dump_hint,cumulative_diameter,cumulative_max_nonadjacent_cosine,cumulative_mean_step_cosine,cumulative_path_length,cumulative_path_length_per_token,cumulative_recurrence_fraction_095,cumulative_recurrence_fraction_099,final_layer,human_quality,layer_12_diameter,layer_12_max_nonadjacent_cosine,layer_12_mean_step_cosine,layer_12_path_length,layer_12_path_length_per_token,layer_12_recurrence_fraction_095,layer_12_recurrence_fraction_099,layer_16_diameter,layer_16_max_nonadjacent_cosine,layer_16_mean_step_cosine,layer_16_path_length,layer_16_path_length_per_token,layer_16_recurrence_fraction_095,layer_16_recurrence_fraction_099,layer_18_diameter,layer_18_max_nonadjacent_cosine,layer_18_mean_step_cosine,layer_18_path_length,layer_18_path_length_per_token,layer_18_recurrence_fraction_095,layer_18_recurrence_fraction_099,layer_22_diameter,layer_22_max_nonadjacent_cosine,layer_22_mean_step_cosine,layer_22_path_length,layer_22_path_length_per_token,layer_22_recurrence_fraction_095,layer_22_recurrence_fraction_099,layer_24_diameter,layer_24_max_nonadjacent_cosine,layer_24_mean_step_cosine,layer_24_path_length,layer_24_path_length_per_token,layer_24_recurrence_fraction_095,layer_24_recurrence_fraction_099,layer_29_diameter,layer_29_max_nonadjacent_cosine,layer_29_mean_step_cosine,layer_29_path_length,layer_29_path_length_per_token,layer_29_recurrence_fraction_095,layer_29_recurrence_fraction_099,layer_32_diameter,layer_32_max_nonadjacent_cosine,layer_32_mean_step_cosine,layer_32_path_length,layer_32_path_length_per_token,layer_32_recurrence_fraction_095,layer_32_recurrence_fraction_099,mean_entropy,mean_margin,mean_target_log_prob,mode,model,over_answering_risk,primary_failure_tag,question_id,record_dir,repeated_sentence_count,role,secondary_failure_tag,step_count,step_diameter,step_max_nonadjacent_cosine,step_mean_step_cosine,step_path_length,step_path_length_per_token,step_recurrence_fraction_095,step_recurrence_fraction_099,token_diameter,token_max_nonadjacent_cosine,token_mean_step_cosine,token_path_length,token_path_length_per_token,token_recurrence_fraction_095,token_recurrence_fraction_099,window_count,window_diameter,window_max_nonadjacent_cosine,window_mean_step_cosine,window_path_length,window_path_length_per_token,window_recurrence_fraction_095,window_recurrence_fraction_099,word_repeated_4gram_count
0.0,ICUの入学後、必ず履修しなければならない必修科目は「リベラルアーツ英語プログラム（ELA）」です。 [1] Title: ICUの入試について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp/admissions/undergraduate/exam Evidence: 一般選抜、総合型選抜<4月入学>、総合型選抜<4月/9月入学>、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>を受ける場合、卒業要件上の必修語学科目は「リベラルアーツ英語プログラム」（ELA: English for Liberal Arts Program）となります。 [2] Title: ICUの入学について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp/admissions/undergraduate/undergraduate Evidence: 入学者選抜に関するお問い合わせ先（一般選抜、転編入学制度、総合型選抜<4月入学>、総合型選抜<4月/9月入学>、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>、研究生、聴講生・科目等履修生）は、アドミッ,384,case_01_s30_023_agentic,1,236.8097686767578,0.9697812795639038,0.9928776025772095,1339.445556640625,3.4972468841791775,0.0038235736865873853,0.0,24,0.0,177.5650177001953,0.9788142442703247,0.9943261742591858,1212.2562255859375,3.1651598579267297,0.00418485623965076,0.0,,,,,,,,208.28057861328125,0.9779009819030762,0.9934696555137634,1307.4384765625,3.413677484497389,0.004681619750112901,0.0,213.2548065185547,0.9766455888748169,0.9928908348083496,1336.7451171875,3.4901961284268928,0.00570525365045913,0.0,236.8097686767578,0.9697812795639038,0.9928776025772095,1339.445556640625,3.4972468841791775,0.0038235736865873853,0.0,,,,,,,,,,,,,,,0.5528170487942301,0.8314726358070815,-0.24045314108964563,agentic,Qwen/Qwen3.5-0.8B,2.0,unsupported_claim,s30_023,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_01_s30_023_agentic/Qwen_Qwen3.5-0.8B,12,qwen08_bad,verbose_low_quality,17,65.74974822998047,0.8797339200973511,0.017105253413319588,704.9982299804688,44.0623893737793,0.0,0.0,60.6441535949707,0.9885801672935486,0.3080061078071594,14269.859375,37.258118472584854,0.0008429926238145417,0.0,93,64.87161254882812,0.9174301624298096,0.824154794216156,1717.372314453125,18.66709037449049,0.0,0.0,269
1.0,履修登録に関する公式確認方法と連絡先は、以下の情報から確認できます。 [1] 教務グループからの重要なお知らせ（春学期登録版）[1] 教務グループからの重要なお知らせ（春学期登録版） * 履修証明書の申請は、卒業年度最終学期登録日から登録変更期間終了日までの間に申請する必要があります。 * 詳細は 4 月 5 日（金）に ICU Portal お知らせを出していますので、確認してください。 * 問い合わせ先：教務グループ ea-group@icu. ac. jp [2] 教務グループからの重要なお知らせ（春学期登録版）[2] 教務グループからの重要なお知らせ（春学期登録版） * 履修証明書の申請は、卒業年度最終学期登録日から登録変更期間終了日までの間に申請する必要があります。 * 詳細は ICU Portal お知らせを出していますので、確認してください。 jp [3] 履修登録 [3] 履修登録 * 履修登録の手続きは、Registration Website でその学期に履修する科目を入力します。 * 登録または登録変更を行った後は、必ず Registration Website の「Registration Resul,384,case_02_s30_014_single_shot,0,248.4565887451172,0.9742383360862732,0.9936660528182983,1303.3570556640625,3.4030210330654374,0.008505193436700286,0.0,24,0.5,191.58834838867188,0.9802000522613525,0.9947678446769714,1185.1917724609375,3.094495489454145,0.012720156555772993,0.0,,,,,,,,206.26295471191406,0.9730384945869446,0.993476390838623,1330.8427734375,3.4747853092362924,0.007933162727683275,0.0,200.0373077392578,0.9773337244987488,0.9931020736694336,1359.8765869140625,3.5505916107416775,0.01103417130814391,0.0,248.4565887451172,0.9742383360862732,0.9936660528182983,1303.3570556640625,3.4030210330654374,0.008505193436700286,0.0,,,,,,,,,,,,,,,0.6410171126825238,0.8135101198787472,-0.3846009056593728,single_shot,Qwen/Qwen3.5-0.8B,1.0,verbose_low_quality,s30_014,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_02_s30_014_single_shot/Qwen_Qwen3.5-0.8B,0,qwen08_bad,missing_key_condition,16,80.56442260742188,0.20151937007904053,0.04846368357539177,642.74169921875,42.849446614583336,0.0,0.0,59.579376220703125,0.9885331988334656,0.34165436029434204,13930.001953125,36.37076227969974,0.00024085503537558332,0.0,93,73.08775329589844,0.7978773713111877,0.8372968435287476,1629.4608154296875,17.7115306024966,0.0,0.0,24
0.0,"进入 ICU 后，必须修以下课程： 1. **Health Science（健康科学）**：作为毕业必修科目，共 1 个学分（1 个单位）。内容包括健康与体育教育讲座，以及 PE 运动课 I、II、III（共 3 个学分，每个 1/3 个单位）。这些课程旨在让学生了解大学生活中的健康与安全，并提升终身的生活质量。 2. **Physical Education Exercise I, II, and III（PE 运动课 I、II、III）**：作为毕业必修科目，共 3 个学分（各 1/3 个单位）。这些课程包含实际运动练习，让学生学习健康与安全知识，并提升沟通、领导力、团队合作等能力。 3. **Teacher's Certificate in Physical Education（体育理论）**：如果学生有志于将来成为中学或高校教师，则需修习此科目。 **关于官方页面**： * 学生应前往 **ICU 官方网站** 查看。 * 具体页面包括： * **Graduate School Overview**：查看毕业要求、课程列表及研究生院概况。 * **Career Support Office**：了解就业与职业发展支持",384,case_03_s30_024_agentic,0,173.71234130859375,0.9906363487243652,0.995209276676178,1111.601806640625,2.902354586529047,0.02864669576998344,0.0001505343971097396,24,0.0,196.8133087158203,0.9885880351066589,0.9947025179862976,1182.244873046875,3.086801235109334,0.020864067439409904,0.0,,,,,,,,187.27593994140625,0.989668607711792,0.9946761727333069,1189.169921875,3.104882302545692,0.024205931055246124,0.0,194.61863708496094,0.9912054538726807,0.9951221346855164,1136.7598876953125,2.968041482233192,0.031235887400270963,0.00019569471624266145,173.71234130859375,0.9906363487243652,0.995209276676178,1111.601806640625,2.902354586529047,0.02864669576998344,0.0001505343971097396,,,,,,,,,,,,,,,1.758314201751394,0.4930334056996344,-0.9110921901123992,agentic,Qwen/Qwen3.5-0.8B,2.0,unsupported_claim,s30_024,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_03_s30_024_agentic/Qwen_Qwen3.5-0.8B,1,qwen08_bad,verbose_low_quality,21,60.68131637573242,0.3454487919807434,0.27573609352111816,759.459228515625,37.97296142578125,0.0,0.0,59.3868408203125,0.9671153426170349,0.45394906401634216,12620.779296875,32.95242636259791,4.516031913292187e-05,0.0,93,65.44908905029297,0.8410418629646301,0.8818613886833191,1397.0465087890625,15.185288139011549,0.0,0.0,36
1.0,"Based on the provided evidence, the grade evaluation for **Statistical Information Literacy** (Course S2: GES039) is determined by the following components: * **Exam (20%):** The syllabus explicitly states that the exam consists of **60% of the total grade** (100% - 40% - 20% - 20%). * **Report (40%):** The syllabus requires students to submit a **Report** (40% of the total grade). * **Daily quiz (20%):** Students must participate in **daily quizzes** (20% of the total grade). * **Class participation (20%):** Stude",224,case_04_s30_017_single_shot,0,161.84999084472656,0.9810945391654968,0.9907508492469788,917.5304565429688,4.114486352210622,0.006599344494640801,0.0,24,0.375,144.36923217773438,0.9764397144317627,0.9900575876235962,958.1868896484375,4.296802195732903,0.004030472141022234,0.0,,,,,,,,157.2396240234375,0.9714838266372681,0.990369439125061,950.6539916992188,4.263022384301429,0.0029231995748073346,0.0,156.8613739013672,0.9793067574501038,0.989859402179718,967.15771484375,4.337030111406951,0.006377889981397821,0.0,161.84999084472656,0.9810945391654968,0.9907508492469788,917.5304565429688,4.114486352210622,0.006599344494640801,0.0,,,,,,,,,,,,,,,1.2026795697128623,0.5892134264221939,-0.631152945487533,single_shot,Qwen/Qwen3.5-0.8B,1.0,unsupported_claim,s30_017,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_04_s30_017_single_shot/Qwen_Qwen3.5-0.8B,0,qwen08_bad,citation_mismatch,8,59.5191650390625,-0.17372559010982513,0.0726252868771553,298.9679870605469,42.70971243722098,0.0,0.0,60.347816467285156,0.9598448276519775,0.38284027576446533,7815.00390625,35.0448605661435,4.4290902648595976e-05,0.0,53,66.20801544189453,0.6138499975204468,0.816275954246521,961.7755737304688,18.49568411020132,0.0,0.0,38
0.0,"はい、ICU の毕业论文（Senior Thesis）において ChatGPT を使用することは可能です。ただし、以下の条件を満たす必要があります。 1. **ICU Net ID を取得する**： 学内のシステム（Portal, E-mail, Microsoft 365, Moodle, ICU MAP など）にログインし、ICU Net ID を取得する必要があります。 [1] 2. **Generative AI の使用が禁止されている**： 論文の作成や提出において、Generative AI の使用は禁止されており、その使用が論文の品質を低下させる行為となります。 [2] 3. **ICU Policy の遵守**： 論文の作成において、Generative AI の使用が禁止されているため、その使用が論文の品質を低下させる行為となります。 [2] 4. **合理的配慮の適用**： 若き研究者や研究員など、障がいや慢性疾患があり、受講にあたって合理的配慮が必要な場合は、科目担当教員と学修アクセシビリティ支援室に相談してください。 [4] 5. **Google Classroom と Google Chat の利",384,case_05_s30_027_agentic,0,202.89878845214844,0.9693687558174133,0.9932677149772644,1368.4945068359375,3.5730927071434397,0.004847207586933615,0.0,24,0.125,204.2554473876953,0.9705396890640259,0.9939514398574829,1290.3829345703125,3.3691460432645237,0.004034321842541021,0.0,,,,,,,,201.3846435546875,0.9712120294570923,0.9929871559143066,1396.5526123046875,3.646351468158453,0.0037181996086105675,0.0,194.39346313476562,0.9712859392166138,0.9926393032073975,1439.375732421875,3.7581611812581595,0.004786993828089718,0.0,202.89878845214844,0.9693687558174133,0.9932677149772644,1368.4945068359375,3.5730927071434397,0.004847207586933615,0.0,,,,,,,,,,,,,,,1.6036256541439873,0.5893275621775214,-0.6603048315266421,agentic,Qwen/Qwen3.5-0.8B,2.0,unsupported_claim,s30_027,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_05_s30_027_agentic/Qwen_Qwen3.5-0.8B,0,qwen08_bad,language_or_format_failure,18,66.01992797851562,0.6235668659210205,-0.10476194322109222,791.7042236328125,46.57083668428309,0.0,0.0,61.53512191772461,0.9692151546478271,0.34913572669029236,13838.68359375,36.132333142950394,6.021375884389583e-05,0.0,93,71.1605224609375,0.7759773135185242,0.8353617191314697,1624.981201171875,17.662839143172555,0.0,0.0,16
0.0,"You can still register or change your courses, but you must complete the registration during the designated change period. If you miss the registration day, you must take a leave of absence or withdraw from the university. [1] The course record indicates that registration is not possible on the registration day. [2] The handbook explicitly states that registration is not acceptable after the registration change period, and those who do not complete the registration during the designated period must take a leave of ",203,case_06_s30_002_agentic,0,169.8344268798828,0.9793818593025208,0.9854954481124878,1018.8378295898438,5.043751631632889,0.008203799654576857,0.0,24,0.375,144.0921630859375,0.9763310551643372,0.9880430102348328,942.649658203125,4.666582466352104,0.00858160621761658,0.0,,,,,,,,161.2147674560547,0.9802387952804565,0.9855840802192688,1009.4017333984375,4.997038284150681,0.010632556131260795,0.0,168.65594482421875,0.9793857336044312,0.9842711091041565,1054.53076171875,5.220449315439357,0.010848445595854923,0.0,169.8344268798828,0.9793818593025208,0.9854954481124878,1018.8378295898438,5.043751631632889,0.008203799654576857,0.0,,,,,,,,,,,,,,,0.940180063570045,0.6564491877342191,-0.3763532646824493,agentic,Qwen/Qwen3.5-0.8B,1.0,unsupported_claim,s30_002,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_06_s30_002_agentic/Qwen_Qwen3.5-0.8B,0,qwen08_bad,missing_key_condition,7,59.211082458496094,-0.3318319618701935,-0.008826464414596558,265.4844665527344,44.2474110921224,0.0,0.0,59.05014419555664,0.961783766746521,0.35370591282844543,7252.3056640625,35.902503287438115,5.397236614853195e-05,0.0,48,60.860389709472656,0.7140470743179321,0.7771701216697693,986.4756469726562,20.98884355260971,0.0,0.0,44
2.0,ICU に入学した後、必ず履修しなければならない科目は以下の通りです。 **1. 保健体育科目** すべての学生が卒業要件として履修する必要があります。 * **健康科学（Health Science）**: 1 科目・1 単位 [1] * **PE エクササイズⅠ・Ⅱ・Ⅲ**: 3 種目・1 単位（各種目は 1/3 単位）[1] **2. 語学科目** 入学時の選抜方法によって必修語学科目が異なります。 * **リベラルアーツ英語プログラム（ELA）**: 一般選抜、総合型選抜（4 月入学専願）、EJU 利用などの場合、原則として必修です。ただし、英語力によって JLP を選択できる場合があります [2]。 * **日本語教育プログラム（JLP）**: 総合型選抜（4 月/9 月入学）の English Language Based Admissions を受けた場合、必修です [2]。 公式ページを見るべきは以下の 2 つです。 * 保健体育科目の詳細: [https://www.icu.ac.jp/academics/undergraduate/healtheducation](https://www.icu.ac.j,315,case_01_s30_023_agentic,0,308.08367919921875,0.9881383776664734,0.9928441047668457,1808.820068359375,5.7605734661126595,0.010657748049052397,0.0,32,1.0,,,,,,,,247.41102600097656,0.987424373626709,0.9925312399864197,1837.480224609375,5.851847849074443,0.01112597547380156,0.0,,,,,,,,,,,,,,,281.1070861816406,0.9883668422698975,0.993455708026886,1738.2501220703125,5.535828414236664,0.012107023411371237,0.0,289.174560546875,0.9888609647750854,0.9929844737052917,1798.935546875,5.729094098328026,0.01181716833890747,0.0,308.08367919921875,0.9881383776664734,0.9928441047668457,1808.820068359375,5.7605734661126595,0.010657748049052397,0.0,0.5265525157334094,0.783600824679064,-0.36556916762763264,agentic,Qwen/Qwen3.5-4B,0.0,none,s30_023,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_01_s30_023_agentic/Qwen_Qwen3.5-4B,6,larger_reference,none,23,105.6120834350586,0.8093770742416382,0.15994440019130707,1435.5057373046875,65.2502607865767,0.0,0.0,92.36690521240234,0.9597457647323608,0.36351698637008667,17802.01953125,56.69432971735669,2.229654403567447e-05,0.0,76,95.73985290527344,0.7275022268295288,0.8431949615478516,2050.0791015625,27.334388020833334,0.0,0.0,49
1.0,履修登録に関する連絡先や公式ページは以下の通りです。 **1. 公式ページ（登録手順・詳細）** * **ページ名**: 履修登録 (科目登録) * **URL**: https://sites. google. com/icu. ac. jp/icu-ehandbook/ホーム_japanese/履修案内/科目登録/履修登録 [3] * **内容**: 登録日程、手順（Registration Website での入力、アドヴァイザー承認）、申請書の提出方法などが記載されています。 **2. 問い合わせ先（教務グループ）** * **メール**: ea-group@icu. jp [1][2][5] * **窓口**: 教務グループ窓口（申請書用紙配布など） [3] * **注意**: 登録手続きは学生本人の責任であり、期間外の手続きは一切できません [3][4]。 **3. 最新のお知らせ（期限・変更点）** * **確認方法**: ICU Portal にて「教務グループからの重要なお知らせ」を確認してください [1][2][5]。 * **登録日**: 各学期の登録日は「Registration Website」で確,247,case_02_s30_014_single_shot,0,307.5223388671875,0.9846667647361755,0.9911062121391296,1593.8720703125,6.479154757367886,0.006619385342789598,0.0,32,0.875,,,,,,,,231.26368713378906,0.9798836708068848,0.9907435178756714,1616.73779296875,6.572104849466464,0.009419894526277506,0.0,,,,,,,,,,,,,,,252.2066650390625,0.9842178225517273,0.99103182554245,1608.7120361328125,6.5394798216781,0.0072740498272413166,0.0,252.6329345703125,0.9836738109588623,0.9907439947128296,1635.403564453125,6.647981969321647,0.005564648117839607,0.0,307.5223388671875,0.9846667647361755,0.9911062121391296,1593.8720703125,6.479154757367886,0.006619385342789598,0.0,0.9943029310345473,0.6632597295451832,-0.6739745846186729,single_shot,Qwen/Qwen3.5-4B,0.0,unsupported_claim,s30_014,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_02_s30_014_single_shot/Qwen_Qwen3.5-4B,0,larger_reference,none,15,107.04188537597656,0.3433164358139038,0.11465460807085037,929.09521484375,66.36394391741071,0.0,0.0,94.78202819824219,0.9309806823730469,0.36595842242240906,13874.796875,56.40161331300813,0.0,0.0,59,102.89752197265625,0.4303390085697174,0.8189887404441833,1718.70556640625,29.632854593211206,0.0,0.0,22
1.0,"进入 ICU 后，作为毕业必修要求，学生必须修读以下课程： 1. **健康科学 (Health Science)**：1 门课，1 学分，包含健康与体育教育讲座 [1][2]。 2. **体育实技课程 (Physical Education Exercise)**：必须修读 **I、II、III** 三门课，共 1 学分（每门课 1/3 学分），包含实践练习 [1][2]。 关于官方页面，建议查看 ICU 官方网站的学术部分获取详细信息，或关注 ICU 的官方社交媒体账号以获取最新信息 [1][2][4]。 *注：若学生志在取得教师执照并未来从事中学或高中教学工作，还需额外修读“体育理论 (Physical Education)""作为教职课程的必修科目 [2]。*",177,case_03_s30_024_agentic,0,226.84336853027344,0.979764461517334,0.9882106781005859,1313.04638671875,7.460490833629262,0.006621583544660468,0.0,32,0.75,,,,,,,,238.482177734375,0.9790045022964478,0.985700249671936,1430.3861083984375,8.127193797718395,0.005212735981966751,0.0,,,,,,,,,,,,,,,232.4932861328125,0.9843305945396423,0.9886618256568909,1282.86328125,7.288995916193182,0.007326007326007326,0.0,246.6125946044922,0.9819155931472778,0.9880003333091736,1322.62158203125,7.514895352450284,0.007114680191603269,0.0,226.84336853027344,0.979764461517334,0.9882106781005859,1313.04638671875,7.460490833629262,0.006621583544660468,0.0,0.7684300997289388,0.6428383390465554,-0.49041986671172866,agentic,Qwen/Qwen3.5-4B,1.0,missing_key_condition,s30_024,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_03_s30_024_agentic/Qwen_Qwen3.5-4B,0,larger_reference,over_answering,8,96.75548553466797,0.028497297316789627,-0.11476310342550278,513.8068237304688,73.40097481863839,0.0,0.0,86.52037811279297,0.8352412581443787,0.44018295407295227,9317.7470703125,52.94174471768466,0.0,0.0,42,94.1288833618164,0.44304758310317993,0.8288297653198242,1187.1236572265625,28.95423554211128,0.0,0.0,9
2.0,"The grade evaluation and required work depend on the specific term (semester) you are enrolled in, as the syllabus differs between Spring and Autumn 2026. **Spring 2026 (Instructor: KANEKO, Takuya)** * **Grading Policy:** Exam (20%), Report (40%), Daily quiz (20%), Class participation (20%) [1]. * **Required Work:** The course covers probability models, conditional probability, random variables, distribution characteristics, and sample data analysis. It also addresses statistical tricks, such as how measurement per",241,case_04_s30_017_single_shot,0,244.31008911132812,0.9789619445800781,0.990493893623352,1595.542236328125,6.648092651367188,0.007507852600934651,0.0,32,1.0,,,,,,,,234.2197265625,0.976694643497467,0.9891036152839661,1680.8536376953125,7.003556823730468,0.006435302229372558,0.0,,,,,,,,,,,,,,,247.2394561767578,0.9784541130065918,0.9902984499931335,1604.621337890625,6.685922241210937,0.008427181490845016,0.0,249.34361267089844,0.9813121557235718,0.9902656674385071,1608.065185546875,6.7002716064453125,0.011912970198421819,0.0,244.31008911132812,0.9789619445800781,0.990493893623352,1595.542236328125,6.648092651367188,0.007507852600934651,0.0,0.5027367184430731,0.7635364390669038,-0.3655819007131083,single_shot,Qwen/Qwen3.5-4B,0.0,none,s30_017,data/diagnostics/runs/system30_hidden_trajectory_20260521_controlled/records/case_04_s30_017_single_shot/Qwen_Qwen3.5-4B,0,larger_reference,none,9,103.897705078125,0.44810792803764343,-0.09244176745414734,593.7677001953125,74.22096252441406,0.0,0.0,96.33125305175781,0.9005383849143982,0.37935033440589905,13412.7646484375,55.88651936848958,0.0,0.0,58,93.75479125976562,0.5756557583808899,0.8398510217666626,1581.755859375,27.75010279605263,0.0,0.0,23
