question_id,question,category,language,avg_human_quality_all_conditions,single_shot_mean_quality,agentic_mean_quality,mean_agentic_delta,median_agentic_delta,paired_model_count,improved_model_count,worsened_model_count,unchanged_model_count,single_shot_blocking_count,agentic_blocking_count,blocking_delta,model_quality_deltas,difficulty_rank,in_hardest_screen
s30_006,"If I take a leave of absence and later return to ICU, what procedure or office information should I check before planning my courses again?",student_status,en,0.5416666666666666,0.5,0.5833333333333334,0.08333333333333333,0.0,6,1,0,5,2,2,0,Qwen 0.8B:+0.000; Gemma E2B:+0.500; Qwen 2B:+0.000; Gemma E4B:+0.000; Qwen 4B:+0.000; Qwen 9B:+0.000,1,yes
s30_024,进入ICU以后必须修哪些课程？我应该看哪个官方页面？,curriculum,zh,0.5520833333333334,0.5416666666666666,0.5625,0.020833333333333332,0.0625,6,3,1,2,1,1,0,Qwen 0.8B:-0.250; Gemma E2B:+0.125; Qwen 2B:+0.125; Gemma E4B:+0.000; Qwen 4B:+0.125; Qwen 9B:+0.000,2,yes
s30_007,"I feel overwhelmed and want to talk to someone, but I am worried about privacy. Where can I find official information about counseling or student support at ICU?",student_support,en,0.59375,0.6458333333333334,0.5416666666666666,-0.10416666666666667,-0.0625,6,0,3,3,1,2,1,Qwen 0.8B:-0.250; Gemma E2B:+0.000; Qwen 2B:+0.000; Gemma E4B:+0.000; Qwen 4B:-0.250; Qwen 9B:-0.125,3,yes
s30_022,What is the mandatory course I need to take after entering ICU?,curriculum,en,0.625,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.0625,6,3,2,1,4,2,-2,Qwen 0.8B:+0.125; Gemma E2B:-0.125; Qwen 2B:-0.250; Gemma E4B:+0.250; Qwen 4B:+0.000; Qwen 9B:+0.500,4,yes
s30_010,日本語プログラムを履修したいのですが、JLPのレベル分けや履修方法について、どこで公式情報を確認できますか？,language,ja,0.6354166666666666,0.6666666666666666,0.6041666666666666,-0.0625,0.0,6,1,2,3,1,2,1,Qwen 0.8B:+0.250; Gemma E2B:+0.000; Qwen 2B:-0.250; Gemma E4B:+0.000; Qwen 4B:-0.375; Qwen 9B:+0.000,5,yes
s30_025,大学の卒論にチャットGPTを使っても大丈夫ですか？,policy,ja,0.71875,0.625,0.8125,0.1875,0.375,6,4,2,0,0,2,2,Qwen 0.8B:-0.250; Gemma E2B:+0.375; Qwen 2B:-0.125; Gemma E4B:+0.375; Qwen 4B:+0.375; Qwen 9B:+0.375,6,yes
s30_021,What are the mandatory courses I need to take after coming to ICU?,curriculum,en,0.7291666666666666,0.7083333333333334,0.75,0.041666666666666664,0.125,6,4,2,0,1,0,-1,Qwen 0.8B:+0.125; Gemma E2B:-0.250; Qwen 2B:+0.250; Gemma E4B:+0.125; Qwen 4B:-0.250; Qwen 9B:+0.250,7,yes
s30_029,鏑木先生教哪些课？请只根据检索到的ICU课程资料回答。,course,zh,0.7291666666666666,0.7708333333333334,0.6875,-0.08333333333333333,-0.125,6,0,4,2,0,0,0,Qwen 0.8B:-0.125; Gemma E2B:-0.125; Qwen 2B:+0.000; Gemma E4B:-0.125; Qwen 4B:-0.125; Qwen 9B:+0.000,8,yes
s30_003,"If I want to withdraw from a course after seeing my workload, what rules or deadlines should I check before I make the decision?",registration,en,0.7395833333333334,0.8333333333333334,0.6458333333333334,-0.1875,-0.25,6,1,4,1,1,1,0,Qwen 0.8B:+0.375; Gemma E2B:-0.125; Qwen 2B:-0.375; Gemma E4B:-0.500; Qwen 4B:-0.500; Qwen 9B:+0.000,9,no
s30_005,"I am worried about senior thesis deadlines. Where can I find the official schedule, and what kind of thesis-related deadlines should I expect to check?",graduation,en,0.7604166666666666,0.7708333333333334,0.75,-0.020833333333333332,0.0,6,1,2,3,0,0,0,Qwen 0.8B:+0.250; Gemma E2B:-0.250; Qwen 2B:+0.000; Gemma E4B:+0.000; Qwen 4B:+0.000; Qwen 9B:-0.125,10,no
s30_027,我可以在ICU的毕业论文里使用ChatGPT吗？如果资料不够，请明确告诉我。,policy,zh,0.7604166666666666,0.75,0.7708333333333334,0.020833333333333332,0.0625,6,3,2,1,0,1,1,Qwen 0.8B:-0.375; Gemma E2B:+0.125; Qwen 2B:-0.125; Gemma E4B:+0.375; Qwen 4B:+0.125; Qwen 9B:+0.000,11,no
s30_028,鏑木先生が担当している授業は何ですか？,course,ja,0.7604166666666666,0.8541666666666666,0.6666666666666666,-0.1875,-0.1875,6,1,3,2,0,3,3,Qwen 0.8B:-0.500; Gemma E2B:+0.125; Qwen 2B:-0.375; Gemma E4B:+0.000; Qwen 4B:-0.375; Qwen 9B:+0.000,12,no
s30_004,I am trying to plan my major requirements and study abroad at the same time. Where should I look to confirm whether courses or credits will count toward my ICU requirements?,major,en,0.7708333333333334,0.7083333333333334,0.8333333333333334,0.125,0.125,6,3,0,3,0,0,0,Qwen 0.8B:+0.000; Gemma E2B:+0.250; Qwen 2B:+0.000; Gemma E4B:+0.250; Qwen 4B:+0.000; Qwen 9B:+0.250,13,no
s30_023,ICUに入学した後、必ず履修しなければならない科目は何ですか？どの公式ページを見るべきですか？,curriculum,ja,0.7708333333333334,0.8125,0.7291666666666666,-0.08333333333333333,0.0,6,2,2,2,0,1,1,Qwen 0.8B:-0.750; Gemma E2B:+0.125; Qwen 2B:+0.000; Gemma E4B:-0.250; Qwen 4B:+0.375; Qwen 9B:+0.000,14,no
