case_group_id,role,model,mode,question_id,human_quality,answer_acceptance,primary_failure_tag,secondary_failure_tag,answer_preview
case_01_s30_023_agentic,qwen08_bad,Qwen/Qwen3.5-0.8B,agentic,s30_023,0.0,0.0,unsupported_claim,verbose_low_quality,ICUの入学後、必ず履修しなければならない必修科目は「リベラルアーツ英語プログラム（ELA）」です。 [1] Title: ICUの入試について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp/admissions/undergraduate/exam Evidence: 一般選抜、総合型選抜<4月入学>、総合型選抜<4月/9月入学>、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>を受ける場合、卒業要件上の必修語学科目は「リベラルアーツ英語プログラム」（ELA: English for Liberal Arts Program）となります。 [2] Title: ICUの入学について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp/admissions/undergraduate/undergraduate Evidence: 入学者選抜に関
case_01_s30_023_agentic,larger_reference,Qwen/Qwen3.5-4B,agentic,s30_023,1.0,2.0,none,none,ICU に入学した後、必ず履修しなければならない科目は以下の通りです。 **1. 保健体育科目** すべての学生が卒業要件として履修する必要があります。 * **健康科学（Health Science）**: 1 科目・1 単位 [1] * **PE エクササイズⅠ・Ⅱ・Ⅲ**: 3 種目・1 単位（各種目は 1/3 単位）[1] **2. 語学科目** 入学時の選抜方法によって必修語学科目が異なります。 * **リベラルアーツ英語プログラム（ELA）**: 一般選抜、総合型選抜（4 月入学専願）、EJU 利用などの場合、原則として必修です。ただし、英語力によって JLP を選択できる場合があります [2]。 * **日本語教育プログラム（JLP）**: 総合型選抜（4 月/9 月入学）の English Language Based Admissions を受けた場合、必修です [2]。 公式ページを見るべきは以下の 2 つで
case_01_s30_023_agentic,larger_reference,Qwen/Qwen3.5-2B,agentic,s30_023,0.875,1.0,missing_key_condition,none,ICUに入学した後、必ず履修しなければならない科目は「保健体育」です。これは卒業要件上の必修科目として、保健体育プログラムの講義科目である「健康科学（Health Science）」と実技科目である「PEエクササイズⅠ・Ⅱ・Ⅲ」を履修することから明かされています [1]。 この公式ページは「保健体育｜国際基督教大学（ICU）」です。
case_02_s30_014_single_shot,qwen08_bad,Qwen/Qwen3.5-0.8B,single_shot,s30_014,0.5,1.0,verbose_low_quality,missing_key_condition,履修登録に関する公式確認方法と連絡先は、以下の情報から確認できます。 [1] 教務グループからの重要なお知らせ（春学期登録版）[1] 教務グループからの重要なお知らせ（春学期登録版） * 履修証明書の申請は、卒業年度最終学期登録日から登録変更期間終了日までの間に申請する必要があります。 * 詳細は 4 月 5 日（金）に ICU Portal お知らせを出していますので、確認してください。 * 問い合わせ先：教務グループ ea-group@icu. ac. jp [2] 教務グループからの重要なお知らせ（春学期登録版）[2] 教務グループからの重要なお知らせ（春学期登録版） * 履修証明書の申請は、卒業年度最終学期登録日から登録変更期間終了日までの間に申請する必要があります。 * 詳細は ICU Portal お知らせを出していますので、確認してください。 jp [3] 履修登録 [3] 履修登録 * 履修登録の手続きは、Reg
case_02_s30_014_single_shot,larger_reference,Qwen/Qwen3.5-4B,single_shot,s30_014,0.875,1.0,unsupported_claim,none,履修登録に関する連絡先や公式ページは以下の通りです。 **1. 公式ページ（登録手順・詳細）** * **ページ名**: 履修登録 (科目登録) * **URL**: https://sites. google. com/icu. ac. jp/icu-ehandbook/ホーム_japanese/履修案内/科目登録/履修登録 [3] * **内容**: 登録日程、手順（Registration Website での入力、アドヴァイザー承認）、申請書の提出方法などが記載されています。 **2. 問い合わせ先（教務グループ）** * **メール**: ea-group@icu. jp [1][2][5] * **窓口**: 教務グループ窓口（申請書用紙配布など） [3] * **注意**: 登録手続きは学生本人の責任であり、期間外の手続きは一切できません [3][4]。 **3. 最新のお知らせ（期限・変更点）** * **確認方
case_03_s30_024_agentic,qwen08_bad,Qwen/Qwen3.5-0.8B,agentic,s30_024,0.0,0.0,unsupported_claim,verbose_low_quality,"进入 ICU 后，必须修以下课程： 1. **Health Science（健康科学）**：作为毕业必修科目，共 1 个学分（1 个单位）。内容包括健康与体育教育讲座，以及 PE 运动课 I、II、III（共 3 个学分，每个 1/3 个单位）。这些课程旨在让学生了解大学生活中的健康与安全，并提升终身的生活质量。 2. **Physical Education Exercise I, II, and III（PE 运动课 I、II、III）**：作为毕业必修科目，共 3 个学分（各 1/3 个单位）。这些课程包含实际运动练习，让学生学习健康与安全知识，并提升沟通、领导力、团队合作等能力。 3. **Teacher's Certificate in Physical Education（体育理论）**：如果学生有志于将来成为中学或高校教师，则需修习此科目。 **关于官方页面**： * 学生应前往 **ICU 官方网站** 查看。 "
case_03_s30_024_agentic,larger_reference,Qwen/Qwen3.5-4B,agentic,s30_024,0.75,1.0,missing_key_condition,over_answering,"进入 ICU 后，作为毕业必修要求，学生必须修读以下课程： 1. **健康科学 (Health Science)**：1 门课，1 学分，包含健康与体育教育讲座 [1][2]。 2. **体育实技课程 (Physical Education Exercise)**：必须修读 **I、II、III** 三门课，共 1 学分（每门课 1/3 学分），包含实践练习 [1][2]。 关于官方页面，建议查看 ICU 官方网站的学术部分获取详细信息，或关注 ICU 的官方社交媒体账号以获取最新信息 [1][2][4]。 *注：若学生志在取得教师执照并未来从事中学或高中教学工作，还需额外修读“体育理论 (Physical Education)""作为教职课程的必修科目 [2]。*"
case_04_s30_017_single_shot,qwen08_bad,Qwen/Qwen3.5-0.8B,single_shot,s30_017,0.375,1.0,unsupported_claim,citation_mismatch,"Based on the provided evidence, the grade evaluation for **Statistical Information Literacy** (Course S2: GES039) is determined by the following components: * **Exam (20%):** The syllabus explicitly states that the exam consists of **60% of the total grade** (100% - 40% - 20% - 20%). * **Report (40%):** The syllabus requires students to submit a **Report** (40% of the total grade). * **Daily quiz (20%):** Students mu"
case_04_s30_017_single_shot,larger_reference,Qwen/Qwen3.5-4B,single_shot,s30_017,1.0,2.0,none,none,"The grade evaluation and required work depend on the specific term (semester) you are enrolled in, as the syllabus differs between Spring and Autumn 2026. **Spring 2026 (Instructor: KANEKO, Takuya)** * **Grading Policy:** Exam (20%), Report (40%), Daily quiz (20%), Class participation (20%) [1]. * **Required Work:** The course covers probability models, conditional probability, random variables, distribution characte"
case_04_s30_017_single_shot,larger_reference,Qwen/Qwen3.5-2B,single_shot,s30_017,1.0,2.0,none,none,"Based on the provided evidence, the grade evaluation for the ""Statistical Information Literacy"" course (Course No: GES039) varies by term and includes the following components: * **Spring 2026 (Term 1):** Exam (20%), Report (40%), Daily quiz (20%), Class participation (20%) [1]. * **Autumn 2026 (Term 2):** Active participation in classes (15%), Application workshops (35%), End of term data analysis project (50%) [2]."
case_05_s30_027_agentic,qwen08_bad,Qwen/Qwen3.5-0.8B,agentic,s30_027,0.125,0.0,unsupported_claim,language_or_format_failure,"はい、ICU の毕业论文（Senior Thesis）において ChatGPT を使用することは可能です。ただし、以下の条件を満たす必要があります。 1. **ICU Net ID を取得する**： 学内のシステム（Portal, E-mail, Microsoft 365, Moodle, ICU MAP など）にログインし、ICU Net ID を取得する必要があります。 [1] 2. **Generative AI の使用が禁止されている**： 論文の作成や提出において、Generative AI の使用は禁止されており、その使用が論文の品質を低下させる行為となります。 [2] 3. **ICU Policy の遵守**： 論文の作成において、Generative AI の使用が禁止されているため、その使用が論文の品質を低下させる行為となります。 [2] 4. **合理的配慮の適用**： 若き研究者や研究員など、障がいや慢"
