review_id,condition_id,model,model_label,mode,mode_label,question_id,question,category,language,params_b,family,wall_seconds,gpt_human_quality_score,deepseek_human_quality_score,ensemble_human_quality_score,score_abs_diff_mean,score_exact_agreement_count,primary_failure_tag_agreement,gpt_answer_acceptance,gpt_readability,gpt_citation_usefulness,gpt_over_answering_risk,gpt_primary_failure_tag,gpt_secondary_failure_tag,gpt_notes,deepseek_answer_acceptance,deepseek_readability,deepseek_citation_usefulness,deepseek_over_answering_risk,deepseek_primary_failure_tag,deepseek_secondary_failure_tag,deepseek_notes,ensemble_answer_acceptance,ensemble_readability,ensemble_citation_usefulness,ensemble_over_answering_risk,ensemble_clean_pass,two_judge_unanimous_clean_pass,blocking_bad_case,blocking_reasons
s30_review_0001,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_001,"I'm a new student and I plan to take JLP, but I don't know which Japanese level I will be placed into. How is the level decided, and where should I check the official information?",language,en,9.0,Qwen3.5,19.87,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Covers key placement and official-source guidance.,2.0,2.0,2.0,0.0,none,none,"The answer accurately summarizes placement test and in-class assessment from evidence, provides correct official links, and is clear and student-friendly.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0002,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_001,"I'm a new student and I plan to take JLP, but I don't know which Japanese level I will be placed into. How is the level decided, and where should I check the official information?",language,en,9.0,Qwen3.5,8.334,0.75,1.0,0.875,0.5,2,False,1.0,2.0,1.0,0.0,missing_key_condition,none,Omits the possible in-class reassessment.,2.0,2.0,2.0,0.0,none,none,"The answer accurately states placement is by test, provides official URLs, and cites relevant evidence without unsupported claims.",1.5,2.0,1.5,0.0,True,False,False,
s30_review_0003,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_002,"I missed the normal course registration day because I was sick. Can I still register or change my courses, and what part of the procedure should I pay attention to?",registration,en,9.0,Qwen3.5,3.168,0.875,1.0,0.9375,0.25,3,False,1.0,2.0,2.0,0.0,missing_key_condition,none,Omits advisor approval and the fee.,2.0,2.0,2.0,0.0,none,none,"The answer accurately reflects the retrieved evidence, is clearly structured, and provides proper citations for all key claims.",1.5,2.0,2.0,0.0,True,False,False,
s30_review_0004,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_002,"I missed the normal course registration day because I was sick. Can I still register or change my courses, and what part of the procedure should I pay attention to?",registration,en,9.0,Qwen3.5,10.014,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,"Covers late registration, SAVE/results, advisor approval, and the fee.",2.0,2.0,2.0,0.0,none,none,"The answer accurately reflects the retrieved evidence, is clearly structured, and provides all key procedural steps with proper citations.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0005,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_003,"If I want to withdraw from a course after seeing my workload, what rules or deadlines should I check before I make the decision?",registration,en,9.0,Qwen3.5,6.106,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,"Covers registration-change, no partial withdrawal, and documentation limits.",2.0,2.0,2.0,0.0,none,none,"The answer accurately summarizes the key rules and deadlines from the retrieved evidence, is clearly structured, and correctly cites relevant passages.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0006,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_003,"If I want to withdraw from a course after seeing my workload, what rules or deadlines should I check before I make the decision?",registration,en,9.0,Qwen3.5,10.303,1.0,0.625,0.8125,0.75,1,False,2.0,2.0,2.0,0.0,none,none,Covers the key rules and consequences.,1.0,2.0,1.0,1.0,unsupported_claim,citation_mismatch,"The answer incorrectly conflates the Registration Change period deadline with the Registration Withdrawal deadline and implies a single 'one month prior' deadline applies to all terms, which is not supported by the evidence.",1.5,2.0,1.5,0.5,True,False,False,
s30_review_0007,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_004,I am trying to plan my major requirements and study abroad at the same time. Where should I look to confirm whether courses or credits will count toward my ICU requirements?,major,en,9.0,Qwen3.5,3.758,0.75,0.625,0.6875,0.25,3,True,1.0,2.0,2.0,1.0,unsupported_claim,missing_key_condition,Suggests the Admissions Center instead of EAG review and omits the major-counting limitation.,1.0,2.0,1.0,1.0,unsupported_claim,citation_mismatch,"The answer is partly useful but incorrectly directs the student to the Admissions Center instead of the Educational Affairs Group for credit transfer procedures, and overstates the role of the cited evidence.",1.0,2.0,1.5,1.0,False,False,False,
s30_review_0008,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_004,I am trying to plan my major requirements and study abroad at the same time. Where should I look to confirm whether courses or credits will count toward my ICU requirements?,major,en,9.0,Qwen3.5,8.89,1.0,0.875,0.9375,0.25,3,False,2.0,2.0,2.0,0.0,none,none,Cautiously explains approval review and limits.,1.0,2.0,2.0,0.0,missing_key_condition,none,"The answer is clear and well-cited but omits the key source (eHANDBOOK transfer-credit/study-abroad pages) and the Educational Affairs Group review mentioned in the reference, making it partly useful but incomplete.",1.5,2.0,2.0,0.0,True,False,False,
s30_review_0009,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_005,"I am worried about senior thesis deadlines. Where can I find the official schedule, and what kind of thesis-related deadlines should I expect to check?",graduation,en,9.0,Qwen3.5,3.22,0.875,0.625,0.75,0.5,2,False,1.0,2.0,2.0,0.0,missing_key_condition,none,"Omits candidacy, first-draft, and broader schedule sources.",1.0,2.0,1.0,1.0,evidence_insufficient,unsupported_claim,"The answer correctly points to ICU Portal and the 4:00 p.m. deadline, but the Relief Application date is misrepresented as a general deadline and the answer lacks the full range of thesis-related deadlines mentioned in the reference answer.",1.0,2.0,1.5,0.5,False,False,False,
s30_review_0010,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_005,"I am worried about senior thesis deadlines. Where can I find the official schedule, and what kind of thesis-related deadlines should I expect to check?",graduation,en,9.0,Qwen3.5,13.537,0.75,1.0,0.875,0.5,2,False,2.0,1.0,2.0,1.0,verbose_low_quality,over_answering,Useful but includes irrelevant major-declaration and graduation details.,2.0,2.0,2.0,0.0,none,none,"The answer accurately directs to ICU Portal and ehandbook, lists relevant deadlines with examples from evidence, and correctly notes that exact dates must be checked in official sources.",2.0,1.5,2.0,0.5,True,False,False,
