model,model_label,mode,mode_label,params_b,family,n,gpt_avg_human_quality_score,deepseek_avg_human_quality_score,ensemble_avg_human_quality_score,deepseek_minus_gpt_quality,ensemble_avg_answer_acceptance,ensemble_avg_readability,ensemble_avg_citation_usefulness,ensemble_avg_over_answering_risk,ensemble_clean_pass_rate,two_judge_unanimous_clean_pass_rate,blocking_bad_case_count,blocking_bad_case_ids,avg_wall_seconds,gpt_top_primary_failure_tags,deepseek_top_primary_failure_tags
Qwen/Qwen3.5-0.8B,Qwen3.5 0.8B,single_shot,single-shot,0.8,Qwen3.5,30,0.575,0.4917,0.5333,-0.0833,0.8,1.2667,0.9167,0.7167,0.1,0.0333,16,s30_003; s30_005; s30_006; s30_007; s30_009; s30_014; s30_015; s30_017; s30_018; s30_019; s30_020; s30_021; s30_022; s30_024; s30_025; s30_026,4.1371,unsupported_claim:11; missing_key_condition:10; citation_mismatch:2; verbose_low_quality:2; over_answering:2,unsupported_claim:9; citation_mismatch:5; missing_key_condition:4; retrieval_miss:3; none:3
Qwen/Qwen3.5-0.8B,Qwen3.5 0.8B,agentic,agentic,0.8,Qwen3.5,30,0.5458,0.5042,0.525,-0.0417,0.8833,1.1167,0.9667,0.7667,0.1667,0.0,15,s30_002; s30_006; s30_007; s30_011; s30_017; s30_019; s30_021; s30_022; s30_023; s30_024; s30_025; s30_026; s30_027; s30_028; s30_029,5.8056,unsupported_claim:11; verbose_low_quality:6; missing_key_condition:6; over_answering:3; citation_mismatch:2,unsupported_claim:8; citation_mismatch:6; none:4; missing_key_condition:4; verbose_low_quality:4
google/gemma-4-E2B-it,Gemma 4 E2B,single_shot,single-shot,2.0,Gemma 4,30,0.8083,0.7583,0.7833,-0.05,1.1833,1.7667,1.4833,0.1667,0.3667,0.2,4,s30_006; s30_022; s30_025; s30_026,7.7176,missing_key_condition:16; none:7; language_or_format_failure:3; unsupported_claim:1; over_answering:1,none:9; missing_key_condition:9; evidence_insufficient:3; retrieval_miss:3; citation_mismatch:3
Qwen/Qwen3.5-2B,Qwen3.5 2B,single_shot,single-shot,2.0,Qwen3.5,30,0.7125,0.6583,0.6854,-0.0542,1.0667,1.6,1.2667,0.45,0.2,0.1,4,s30_007; s30_012; s30_022; s30_026,4.7459,missing_key_condition:17; over_answering:4; unsupported_claim:3; none:3; language_or_format_failure:2,evidence_insufficient:8; none:6; retrieval_miss:5; missing_key_condition:4; unsupported_claim:4
google/gemma-4-E2B-it,Gemma 4 E2B,agentic,agentic,2.0,Gemma 4,30,0.8375,0.8458,0.8417,0.0083,1.4,1.85,1.6833,0.2,0.5333,0.3,1,s30_022,8.6717,missing_key_condition:11; none:11; language_or_format_failure:5; over_answering:1; unsupported_claim:1,none:14; missing_key_condition:11; evidence_insufficient:4; unsupported_claim:1
Qwen/Qwen3.5-2B,Qwen3.5 2B,agentic,agentic,2.0,Qwen3.5,30,0.6958,0.5792,0.6375,-0.1167,0.9667,1.55,1.1333,0.55,0.1667,0.1,11,s30_003; s30_006; s30_010; s30_011; s30_015; s30_022; s30_025; s30_026; s30_027; s30_028; s30_029,6.7949,missing_key_condition:9; unsupported_claim:6; over_answering:5; none:4; evidence_insufficient:2,unsupported_claim:9; missing_key_condition:5; retrieval_miss:4; none:4; evidence_insufficient:3
google/gemma-4-E4B-it,Gemma 4 E4B,single_shot,single-shot,4.0,Gemma 4,30,0.8333,0.8208,0.8271,-0.0125,1.35,1.8,1.5833,0.1167,0.4333,0.2667,2,s30_006; s30_026,3.8835,missing_key_condition:13; none:9; language_or_format_failure:3; over_answering:2; unsupported_claim:1,none:11; missing_key_condition:7; evidence_insufficient:6; retrieval_miss:5; other:1
Qwen/Qwen3.5-4B,Qwen3.5 4B,single_shot,single-shot,4.0,Qwen3.5,30,0.7792,0.75,0.7646,-0.0292,1.2833,1.7167,1.5167,0.4,0.3667,0.2,4,s30_003; s30_020; s30_024; s30_026,8.3288,missing_key_condition:9; none:8; unsupported_claim:5; over_answering:3; language_or_format_failure:3,none:10; unsupported_claim:5; missing_key_condition:4; evidence_insufficient:4; citation_mismatch:3
google/gemma-4-E4B-it,Gemma 4 E4B,agentic,agentic,4.0,Gemma 4,30,0.8583,0.8625,0.8604,0.0042,1.4833,1.8667,1.7,0.1667,0.6,0.3333,0,,13.3141,none:13; missing_key_condition:11; language_or_format_failure:3; over_answering:1; verbose_low_quality:1,none:15; evidence_insufficient:8; missing_key_condition:7
Qwen/Qwen3.5-4B,Qwen3.5 4B,agentic,agentic,4.0,Qwen3.5,30,0.7875,0.8042,0.7958,0.0167,1.4,1.8333,1.6667,0.5333,0.6,0.3333,5,s30_003; s30_009; s30_011; s30_022; s30_028,8.8622,none:12; missing_key_condition:6; over_answering:5; unsupported_claim:4; citation_mismatch:1,none:17; unsupported_claim:5; evidence_insufficient:4; over_answering:2; missing_key_condition:1
Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,9.0,Qwen3.5,30,0.875,0.8375,0.8562,-0.0375,1.5333,1.9167,1.6167,0.2167,0.6333,0.4667,2,s30_022; s30_026,4.1113,none:16; missing_key_condition:9; unsupported_claim:2; over_answering:2; evidence_insufficient:1,none:16; retrieval_miss:4; evidence_insufficient:3; missing_key_condition:2; over_answering:2
Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,9.0,Qwen3.5,30,0.9,0.8792,0.8896,-0.0208,1.6667,1.9667,1.8167,0.3333,0.8,0.4333,0,,11.1211,none:20; missing_key_condition:3; unsupported_claim:3; over_answering:3; verbose_low_quality:1,none:17; unsupported_claim:7; missing_key_condition:2; evidence_insufficient:2; over_answering:2
